code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
SH.601011,宝泰隆,100,STOCK,N/A,,N/A,,N/A,N/A,2011-03-09,64600604700147,False,N/A,False,,CN_SH
SH.601012,隆基绿能,100,STOCK,N/A,,N/A,,N/A,N/A,2012-04-11,66314296651252,False,N/A,False,,CN_SH
SH.601015,陕西黑猫,100,STOCK,N/A,,N/A,,N/A,N/A,2014-11-05,70342975974903,False,N/A,False,,CN_SH
SH.601016,节能风电,100,STOCK,N/A,,N/A,,N/A,N/A,2014-09-29,70184062184952,False,N/A,False,,CN_SH
SH.601018,宁波港,100,STOCK,N/A,,N/A,,N/A,N/A,2010-09-28,63904819998202,False,N/A,False,,CN_SH
SH.601019,山东出版,100,STOCK,N/A,,N/A,,N/A,N/A,2017-11-22,75024490327547,False,N/A,False,,CN_SH
SH.601020,华钰矿业,100,STOCK,N/A,,N/A,,N/A,N/A,2016-03-16,1601020,False,N/A,False,,CN_SH
SH.601021,春秋航空,100,STOCK,N/A,,N/A,,N/A,N/A,2015-01-21,70673688456701,False,N/A,False,,CN_SH
SH.601022,宁波远洋,100,STOCK,N/A,,N/A,,N/A,N/A,2022-12-08,82871395577342,False,N/A,False,,CN_SH
SH.601028,玉龙股份,100,STOCK,N/A,,N/A,,N/A,N/A,2011-11-07,65644281753092,False,N/A,False,,CN_SH
SH.601038,一拖股份,100,STOCK,N/A,,N/A,,N/A,N/A,2012-08-08,66825397759502,False,N/A,False,,CN_SH
SH.601058,赛轮轮胎,100,STOCK,N/A,,N/A,,N/A,N/A,2011-06-30,65085936004642,False,N/A,False,,CN_SH
SH.601059,信达证券,100,STOCK,N/A,,N/A,,N/A,N/A,2023-02-01,83068964072995,False,N/A,False,,CN_SH
SH.601066,中信建投,100,STOCK,N/A,,N/A,,N/A,N/A,2018-06-20,75935023394346,False,N/A,False,,CN_SH
SH.601068,中铝国际,100,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,76166951628332,False,N/A,False,,CN_SH
SH.601069,西部黄金,100,STOCK,N/A,,N/A,,N/A,N/A,2015-01-22,70677983424045,False,N/A,False,,CN_SH
SH.601077,渝农商行,100,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,77945068088885,False,N/A,False,,CN_SH
SH.601086,国芳集团,100,STOCK,N/A,,N/A,,N/A,N/A,2017-09-29,74814036930110,False,N/A,False,,CN_SH
SH.601088,中国神华,100,STOCK,N/A,,N/A,,N/A,N/A,2007-10-09,59244780482112,False,N/A,False,,CN_SH
SH.601089,福元医药,100,STOCK,N/A,,N/A,,N/A,N/A,2022-06-30,82270100155969,False,N/A,False,,CN_SH
SH.601098,中南传媒,100,STOCK,N/A,,N/A,,N/A,N/A,2010-10-28,64033669017162,False,N/A,False,,CN_SH
SH.601099,太平洋,100,STOCK,N/A,,N/A,,N/A,N/A,2007-12-28,59588377865803,False,N/A,False,,CN_SH
SH.601100,恒立液压,100,STOCK,N/A,,N/A,,N/A,N/A,2011-10-28,65601332080204,False,N/A,False,,CN_SH
SH.601101,昊华能源,100,STOCK,N/A,,N/A,,N/A,N/A,2010-03-31,63127430917709,False,N/A,False,,CN_SH
SH.601106,中国一重,100,STOCK,N/A,,N/A,,N/A,N/A,2010-02-09,62912682552914,False,N/A,False,,CN_SH
SH.601107,四川成渝,100,STOCK,N/A,,N/A,,N/A,N/A,2009-07-27,62066573995603,False,N/A,False,,CN_SH
SH.601108,财通证券,100,STOCK,N/A,,N/A,,N/A,N/A,2017-10-24,74878461439572,False,N/A,False,,CN_SH
SH.601111,中国国航,100,STOCK,N/A,,N/A,,N/A,N/A,2006-08-18,57453779119703,False,N/A,False,,CN_SH
SH.601113,华鼎股份,100,STOCK,N/A,,N/A,,N/A,N/A,2011-05-09,64862597705305,False,N/A,False,,CN_SH
SH.601116,三江购物,100,STOCK,N/A,,N/A,,N/A,N/A,2011-03-02,64570539929180,False,N/A,False,,CN_SH
SH.601117,中国化学,100,STOCK,N/A,,N/A,,N/A,N/A,2010-01-07,62770948632157,False,N/A,False,,CN_SH
SH.601118,海南橡胶,100,STOCK,N/A,,N/A,,N/A,N/A,2011-01-07,64338611695198,False,N/A,False,,CN_SH
SH.601121,宝地矿业,100,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83339547012705,False,N/A,False,,CN_SH
SH.601126,四方股份,100,STOCK,N/A,,N/A,,N/A,N/A,2010-12-31,64308546924134,False,N/A,False,,CN_SH
SH.601127,赛力斯,100,STOCK,N/A,,N/A,,N/A,N/A,2016-06-15,1601127,False,N/A,False,,CN_SH
SH.601128,常熟银行,100,STOCK,N/A,,N/A,,N/A,N/A,2016-09-30,1601128,False,N/A,False,,CN_SH
SH.601136,首创证券,100,STOCK,N/A,,N/A,,N/A,N/A,2022-12-22,82931525119600,False,N/A,False,,CN_SH
SH.601137,博威合金,100,STOCK,N/A,,N/A,,N/A,N/A,2011-01-27,64424511041137,False,N/A,False,,CN_SH
SH.601138,工业富联,100,STOCK,N/A,,N/A,,N/A,N/A,2018-06-08,75866303917682,False,N/A,False,,CN_SH
SH.601139,深圳燃气,100,STOCK,N/A,,N/A,,N/A,N/A,2009-12-25,62715114057331,False,N/A,False,,CN_SH
SH.601155,新城控股,100,STOCK,N/A,,N/A,,N/A,N/A,2015-12-04,72035193089667,False,N/A,False,,CN_SH
SH.601156,东航物流,100,STOCK,N/A,,N/A,,N/A,N/A,2021-06-09,80590767943300,False,N/A,False,,CN_SH
SH.601158,重庆水务,100,STOCK,N/A,,N/A,,N/A,N/A,2010-03-29,63118840983174,False,N/A,False,,CN_SH
SH.601162,天风证券,100,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,76377405025930,False,N/A,False,,CN_SH
SH.601163,三角轮胎,100,STOCK,N/A,,N/A,,N/A,N/A,2016-09-09,1601163,False,N/A,False,,CN_SH
SH.601166,兴业银行,100,STOCK,N/A,,N/A,,N/A,N/A,2007-02-05,58188218527374,False,N/A,False,,CN_SH
SH.601168,西部矿业,100,STOCK,N/A,,N/A,,N/A,N/A,2007-07-12,58862528392848,False,N/A,False,,CN_SH
SH.601169,北京银行,100,STOCK,N/A,,N/A,,N/A,N/A,2007-09-19,59158881136273,False,N/A,False,,CN_SH
SH.601177,杭齿前进,100,STOCK,N/A,,N/A,,N/A,N/A,2010-10-11,63960654573209,False,N/A,False,,CN_SH
SH.601179,中国西电,100,STOCK,N/A,,N/A,,N/A,N/A,2010-01-28,62861142945435,False,N/A,False,,CN_SH
SH.601186,中国铁建,100,STOCK,N/A,,N/A,,N/A,N/A,2008-03-10,59914795380386,False,N/A,False,,CN_SH
SH.601187,厦门银行,100,STOCK,N/A,,N/A,,N/A,N/A,2020-10-27,79521321086627,False,N/A,False,,CN_SH
SH.601188,龙江交通,100,STOCK,N/A,,N/A,,N/A,N/A,2010-03-19,63075891310244,False,N/A,False,,CN_SH
SH.601198,东兴证券,100,STOCK,N/A,,N/A,,N/A,N/A,2015-02-26,70828307279534,False,N/A,False,,CN_SH
SH.601199,江南水务,100,STOCK,N/A,,N/A,,N/A,N/A,2011-03-17,64634964438703,False,N/A,False,,CN_SH
SH.601200,上海环境,100,STOCK,N/A,,N/A,,N/A,N/A,2017-03-31,74109662293680,False,N/A,False,,CN_SH
SH.601206,海尔施,100,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,1601206,False,N/A,False,,CN_SH
SH.601208,东材科技,100,STOCK,N/A,,N/A,,N/A,N/A,2011-05-20,64909842345656,False,N/A,False,,CN_SH
SH.601211,国泰君安,100,STOCK,N/A,,N/A,,N/A,N/A,2015-06-26,71343703355067,False,N/A,False,,CN_SH
SH.601212,白银有色,100,STOCK,N/A,,N/A,,N/A,N/A,2017-02-15,73710230335164,False,N/A,False,,CN_SH
SH.601216,君正集团,100,STOCK,N/A,,N/A,,N/A,N/A,2011-02-22,64536180190912,False,N/A,False,,CN_SH
SH.601218,吉鑫科技,100,STOCK,N/A,,N/A,,N/A,N/A,2011-05-06,64849712803522,False,N/A,False,,CN_SH
SH.601222,林洋能源,100,STOCK,N/A,,N/A,,N/A,N/A,2011-08-08,65253439729350,False,N/A,False,,CN_SH
